name,mass_kg,mean_radius_km,position_x_km,position_y_km,position_z_km,velocity_x_km,velocity_y_km,velocity_z_km
Sylvia,2.94081e+18,7.054226e+01,-295174635.17884934,-437139367.3095058,30350360.73589188,13.507017613680535,-7.545512052615689,-2.9004231826357576
Thisbe,1.91631e+18,6.115745e+01,224998789.7736577,352622179.2905572,24246132.75956755,-13.066544257906337,11.87491328847661,-1.0588855389574454
Julia,6.28734e+18,9.087603e+01,-126617158.82661887,-356593845.51789904,-96138658.36354339,17.616782306160754,-3.4585475733714066,3.1205422805427645
Antiope,3.75376e+17,3.551807e+01,395826949.5536933,161711981.80197552,-12239349.86985039,-4.347082909075247,17.86162031156928,0.39063207610394945
Aegina,1.42714e+17,2.573057e+01,381456196.9166645,-28609525.069080774,-3654828.6357182562,-0.608784659653776,18.722432158848104,0.6805718288754982
Undina,3.77109e+18,7.663892e+01,190241405.08454102,425734692.51566356,-47782605.997683674,-14.441812590815955,8.631219977840829,2.1647786522615764
Minerva,7.91529e+17,4.554591e+01,52726483.346658446,459431174.07020897,68249033.74232669,-15.46879464525791,2.447969493619664,0.5377355794021943
Aurora,1.00108e+18,4.925489e+01,-11665302.434985718,-507404287.3222502,-70896181.73905207,15.38658102286292,0.35459949153559067,-0.06034647097921709
Arethusa,7.08707e+17,4.389847e+01,281126838.4334623,266805017.56419092,30417316.372626938,-12.872207754447807,14.498153360483755,-4.159905845664035
Aegle,1.07267e+18,5.040218e+01,-299083699.0920981,-258194584.408697,-111094017.73123565,11.05044557257127,-15.212788963585211,-1.475295861134324
Klotho,8.96327e+17,4.747329e+01,-160902662.59189677,274545924.8317735,-42287326.73216401,-20.797902111779894,-7.301264481823349,2.9127278088889113
Ianthe,1.80496e+17,2.782591e+01,458477058.81139666,-122501884.03101875,-21251333.065727577,3.2202070065658197,14.212492174808869,4.032506746812493
Dike,8.92209e+16,2.200135e+01,-332242687.5798645,-50779592.41194453,45321673.64067892,5.2887000907807895,-20.020525009265597,-4.554327874836254
Hekate,9.47254e+17,4.835589e+01,-296896697.3226418,449835109.64742297,-4358205.199223425,-12.102541682589353,-7.50773173662665,1.596637668823842
Helena,3.91261e+17,3.601218e+01,-411234715.69034773,-93428600.87357566,-36802783.453392945,5.584575372601504,-15.702066050811645,-2.430807688981831
Miriam,9.04621e+16,2.210290e+01,217076180.50648987,-229726832.60908526,27943531.51781027,13.844808515041926,17.644731562630742,-0.7176940940415961
